Resource ID,Service Name,Usage Quantity,Usage Unit,Region/Zone,CPU Utilization (%),Memory Utilization (%),Network Inbound Data (Bytes),Network Outbound Data (Bytes),Usage Start Date,Usage End Date,Cost per Quantity ($),Unrounded Cost ($),Rounded Cost ($),Total Cost (INR)
res-ZNB547LC,Cloud Memorystore,153.5011,Requests,us-east1,26.65,8.78,47511595763,54074999234.0,2024-03-07 05:37:00,2024-05-07 22:48:00,3.08,472.78,473,39259
res-VF6FXCMT,Firestore,10.5402,Requests,us-central1,84.79,69.28,6183948417,12748356367.0,2024-03-07 07:41:00,2024-06-07 06:09:00,1.32,13.91,14,1162
res-VH870SCG,Cloud Functions,138.2667,Hours,asia-southeast1,88.59,93.78,46054613143,50682032060.0,2024-03-07 08:36:00,2024-09-07 02:52:00,5.26,727.28,727,60341
res-2AKD3D5G,Cloud CDN,435.086,GB,asia-northeast1,95.51,84.66,74957443833,77986352608.0,2024-03-07 08:42:00,2024-06-07 00:54:00,1.29,561.26,561,46563
res-UGEUXAAR,Kubernetes Engine,112.4333,Hours,us-central1,52.52,97.7,35401774619,44386018898.0,2024-03-07 09:09:00,2024-08-07 01:35:00,4.63,520.57,521,43243
res-TXE03SK4,BigQuery,296.8281,GB,southamerica-east1,7.52,70.95,67249581572,68679044281.0,2024-03-07 11:56:00,2024-09-07 11:19:00,7.83,2324.16,2324,192892
res-C7QGGDW5,BigQuery,994.506,Requests,europe-west3,10.4,68.25,52643788421,53796037302.0,2024-03-07 12:29:00,2024-07-07 03:42:00,7.54,7498.58,7499,622417
res-G35CH69Y,Container Registry,661.8909,GB,northamerica-northeast1,97.45,33.87,47400717792,50656729309.0,2024-03-07 12:49:00,2024-07-07 00:02:00,1.89,1250.97,1251,103833
res-UPEK7TGF,Cloud Armor,339.41,Requests,europe-west3,88.22,64.11,90527835813,92142710021.0,2024-03-07 12:51:00,2024-09-07 12:26:00,4.35,1476.43,1476,122508
res-2XJ967QZ,Cloud Armor,809.6094,Requests,us-central1,87.85,37.18,83122842259,92891585359.0,2024-03-07 13:01:00,2024-06-07 22:46:00,5.54,4485.24,4485,372255
res-PNEPCKHW,Cloud NAT,142.5774,GB,us-east1,61.06,25.1,89802450137,94186930893.0,2024-03-07 13:45:00,2024-07-07 20:21:00,6.06,864.02,864,71712
res-AP3286AB,Cloud VPC,509.2785,GB,europe-west3,76.47,34.82,95064475095,103174000000.0,2024-03-07 14:36:00,2024-08-07 09:23:00,2.24,1140.78,1141,94703
res-X1LNU5KK,Cloud Dataproc,996.4919,GB,us-east1,48.72,36.85,79133661223,86555528164.0,2024-03-07 15:25:00,2024-05-07 00:28:00,7.31,7284.36,7284,604572
res-35L3HOZL,Compute Engine,64.3167,Hours,europe-west3,10.75,31.36,64401229845,68443558418.0,2024-03-07 18:48:00,2024-06-07 11:07:00,9.0,578.85,579,48057
res-0CUDY9AM,Compute Engine,67.9333,Hours,europe-west3,36.04,12.92,87765223697,94004249669.0,2024-03-07 18:57:00,2024-06-07 14:53:00,8.64,586.94,587,48721
res-FFU623P2,Cloud Interconnect,377.6054,GB,europe-west1,31.21,54.64,25009594193,34804350306.0,2024-03-07 20:09:00,2024-06-07 13:01:00,5.68,2144.8,2145,178035
res-1JUX8LS9,Cloud Functions,118.1,Hours,us-central1,84.66,59.16,4773068726,5717129990.0,2024-03-07 20:46:00,2024-08-07 18:52:00,3.34,394.45,394,32702
res-3PG1IW3C,Container Registry,250.3807,Requests,asia-east1,78.41,51.91,56910738249,57959808540.0,2024-03-07 21:21:00,2024-07-07 19:42:00,3.77,943.94,944,78352
res-C9KNE491,Cloud Spanner,28.6273,Requests,asia-southeast1,76.01,55.07,30942391610,38113531186.0,2024-03-07 22:36:00,2024-06-07 14:02:00,4.9,140.27,140,11620
res-GL3BFL4Z,Cloud Interconnect,30.4465,GB,asia-southeast1,99.65,0.11,1657331870,2827341389.0,2024-03-07 22:41:00,2024-06-07 18:20:00,1.52,46.28,46,3818
res-ID3TQL0D,Cloud NAT,335.0037,Requests,asia-southeast1,69.96,68.23,43868885858,52444783637.0,2024-03-07 23:07:00,2024-06-07 01:26:00,6.48,2170.82,2171,180193
res-PMFSLBBH,Cloud Run,70.2667,Hours,northamerica-northeast1,81.57,85.12,88789753885,96741542761.0,2024-03-07 23:16:00,2024-06-07 21:32:00,4.31,302.85,303,25149
res-XACLYR7O,Cloud CDN,657.3878,Requests,us-east1,43.57,32.42,64719533732,74457276259.0,2024-03-07 23:38:00,2024-08-07 06:34:00,3.28,2156.23,2156,178948
res-EM2XFZ8L,AI Platform,91.8667,Hours,asia-east1,71.61,22.98,68957858292,72151157511.0,2024-03-07 23:57:00,2024-07-07 19:49:00,8.18,751.47,751,62333
res-6BOEVI0R,Cloud SQL,527.927,GB,europe-west3,3.09,72.71,37778937466,46123023685.0,2024-03-08 00:59:00,2024-08-08 18:04:00,2.43,1282.86,1283,106489
res-919DA5VW,Cloud Dataproc,163.075,Requests,europe-north1,20.21,93.53,78724192890,83475645504.0,2024-03-08 02:12:00,2024-08-08 05:54:00,3.32,541.41,541,44903
res-3KHNOERC,Cloud Interconnect,607.4707,GB,southamerica-east1,18.05,9.28,69669692064,76918930113.0,2024-03-08 02:49:00,2024-05-08 21:27:00,2.75,1670.54,1671,138693
res-UATET0ZG,BigQuery,195.4914,Requests,europe-west1,61.71,91.21,22600367510,23271333009.0,2024-03-08 05:06:00,2024-09-08 04:25:00,2.4,469.18,469,38927
res-X0NWEN6B,Cloud Interconnect,577.1848,GB,australia-southeast1,38.24,36.55,30752391797,39657922545.0,2024-03-08 05:30:00,2024-07-08 01:48:00,7.42,4282.71,4283,355489
res-73GJ8ZUQ,Cloud Functions,113.7167,Hours,australia-southeast1,22.19,50.81,72922188358,73740836405.0,2024-03-08 05:48:00,2024-07-08 23:31:00,8.26,939.3,939,77937
res-NXRJ4YNL,Cloud VPC,661.2917,Requests,us-central1,24.84,34.47,91385878855,94431571544.0,2024-03-08 06:01:00,2024-09-08 01:43:00,6.55,4331.46,4331,359473
res-MHUZ0UCB,Cloud NAT,593.7,GB,southamerica-east1,25.5,89.97,32996592113,40478716789.0,2024-03-08 07:49:00,2024-04-08 15:05:00,5.58,3312.85,3313,274979
res-M8RGW39R,Cloud Storage,376.4622,GB,europe-west3,13.08,0.58,42831912294,43777704078.0,2024-03-08 09:32:00,2024-06-08 16:14:00,9.62,3621.57,3622,300626
res-ALHVTEHO,Kubernetes Engine,110.3167,Hours,us-east1,49.67,26.17,79950895147,87873607051.0,2024-03-08 09:57:00,2024-08-08 00:16:00,7.61,839.51,840,69720
res-X2N9B19G,Container Registry,302.3678,GB,asia-east1,90.78,86.3,17717813072,18693727301.0,2024-03-08 14:06:00,2024-05-08 04:14:00,9.77,2954.13,2954,245182
res-RMKORSAL,Cloud Run,136.75,Hours,europe-west1,4.02,94.8,6223155302,10482162987.0,2024-03-08 15:34:00,2024-09-08 08:19:00,7.49,1024.26,1024,84992
res-QZSVFSSA,Cloud Spanner,325.0195,Requests,southamerica-east1,7.74,32.63,4134917123,11405712912.0,2024-03-08 16:43:00,2024-08-08 22:03:00,9.87,3207.94,3208,266264
res-YB8GRSNJ,Cloud Functions,110.75,Hours,europe-north1,53.2,42.02,53292001133,58798521388.0,2024-03-08 19:23:00,2024-08-08 10:08:00,1.54,170.56,171,14193
res-J1A4NFH8,Cloud VPN,789.3788,GB,us-east1,32.32,14.03,97102223452,103176000000.0,2024-03-08 23:10:00,2024-05-08 17:38:00,6.17,4870.47,4870,404210
res-2UBLDDOC,Cloud Endpoints,957.9646,GB,australia-southeast1,92.23,25.12,82309446703,88424557528.0,2024-03-08 23:28:00,2024-09-08 14:42:00,6.52,6245.93,6246,518418
res-UB3MG63E,Cloud NAT,144.2559,Requests,us-west1,99.71,0.93,91717311680,95042899077.0,2024-04-07 01:20:00,2024-08-07 10:05:00,4.99,719.84,720,59760
res-6OMQ4VML,Cloud Armor,324.2647,GB,northamerica-northeast1,40.23,67.49,55430618756,56713923891.0,2024-04-07 01:45:00,2024-07-07 11:41:00,2.94,953.34,953,79099
res-L7CEPN9U,Kubernetes Engine,112.6667,Hours,asia-northeast1,99.25,14.54,48787684778,49550324250.0,2024-04-07 02:25:00,2024-08-07 19:05:00,2.71,305.33,305,25315
res-SXWYPIJP,Cloud Storage,670.2735,Requests,asia-northeast1,46.23,64.83,19597849520,29080373672.0,2024-04-07 07:15:00,2024-07-07 20:33:00,8.42,5643.7,5644,468452
res-U8V4KCX7,Cloud Armor,734.7722,Requests,australia-southeast1,26.61,62.42,11961130390,21953273498.0,2024-04-07 09:30:00,2024-09-07 08:16:00,7.1,5216.88,5217,433011
res-R4MY6SNT,AI Platform,40.5167,Hours,australia-southeast1,72.28,1.07,66864225934,75372480341.0,2024-04-07 09:45:00,2024-06-07 02:16:00,1.69,68.47,68,5644
res-AK01OOOD,Cloud Build,527.2681,Requests,asia-northeast1,61.56,43.96,26482469626,27726221853.0,2024-04-07 11:56:00,2024-08-07 22:22:00,8.95,4719.05,4719,391677
res-CFVZ9YM8,Cloud VPC,636.7192,Requests,europe-north1,69.63,29.21,3777085117,6701606221.0,2024-04-07 12:00:00,2024-10-07 08:40:00,1.12,713.13,713,59179
res-79FPROWE,Cloud Data Fusion,216.1677,Requests,europe-north1,53.52,54.18,68550645302,76772333973.0,2024-04-07 17:08:00,2024-09-07 13:45:00,9.74,2105.47,2105,174715
res-20XGKVRF,Cloud Endpoints,727.624,Requests,australia-southeast1,75.76,98.84,28995209715,34724604400.0,2024-04-07 19:24:00,2024-06-07 21:39:00,6.77,4926.01,4926,408858
res-U7QQJ58L,Cloud Storage,698.7765,GB,europe-west1,53.88,17.8,15702113681,16748005664.0,2024-04-07 21:28:00,2024-09-07 22:23:00,2.73,1907.66,1908,158364
res-IGDCS3TU,Cloud Load Balancing,960.8627,GB,europe-north1,15.27,94.05,93545537622,98590543085.0,2024-04-08 02:23:00,2024-06-08 22:53:00,1.81,1739.16,1739,144337
res-8YQ9D8TD,Kubernetes Engine,73.45,Hours,europe-west1,56.31,71.53,93719184439,100431000000.0,2024-04-08 04:48:00,2024-07-08 06:15:00,7.25,532.51,533,44239
res-AGO278CW,Compute Engine,127.7333,Hours,asia-southeast1,14.64,17.36,5838993983,8497442468.0,2024-04-08 05:25:00,2024-09-08 13:09:00,7.8,996.32,996,82668
res-5QMXZ068,Pub/Sub,468.1951,GB,asia-southeast1,92.1,60.77,81939046283,86683174597.0,2024-04-08 06:10:00,2024-08-08 16:29:00,1.54,721.02,721,59843
res-1M0Q8CHS,Cloud Spanner,313.9518,Requests,asia-southeast1,87.12,92.54,8742956924,16294699180.0,2024-04-08 06:28:00,2024-08-08 13:38:00,1.28,401.86,402,33366
res-723DJQ6D,Cloud Data Fusion,967.0035,Requests,asia-northeast1,7.96,10.82,65566056958,69139290269.0,2024-04-08 06:46:00,2024-08-08 05:39:00,8.99,8693.36,8693,721519
res-78Q0LVMD,Cloud Spanner,788.1574,GB,southamerica-east1,13.67,83.33,57395783635,66477797434.0,2024-04-08 07:26:00,2024-06-08 16:56:00,2.61,2057.09,2057,170731
res-0DCGVMQZ,Dataflow,34.35,Hours,australia-southeast1,43.47,0.06,63239879907,65056157071.0,2024-04-08 08:13:00,2024-05-08 18:34:00,1.06,36.41,36,2988
res-7HPPI6FR,Cloud Run,82.8667,Hours,europe-west1,58.16,83.44,40399318096,48297071888.0,2024-04-08 09:27:00,2024-07-08 20:19:00,8.17,677.02,677,56191
res-6KHDCRDB,Kubernetes Engine,26.9667,Hours,europe-west1,52.87,12.57,32172473599,36455010138.0,2024-04-08 10:51:00,2024-05-08 13:49:00,5.68,153.17,153,12699
res-82OZQF0P,Cloud Interconnect,60.418,GB,europe-west1,73.04,7.02,65950112568,67804396568.0,2024-04-08 14:38:00,2024-05-08 23:00:00,7.09,428.36,428,35524
